Broker,Shortname,Code
AB CAPITAL SECURITIES INC.,AB CAP,ABC
ABACUS SECURITIES CORPORATION,ABACUS,ABA
"AP SECURITIES, INCORPORATED",AP SEC,APS
"BA SECURITIES, INC.",BA SEC,BA
BDO SECURITIES CORPORATION,BDO SEC,BDO
BPI SECURITIES CORPORATION,BPI SEC,BPI
"CLSA PHILIPPINES, INC.",CLSA,CLS
"COL FINANCIAL GROUP, INC.",COL,COL
DIRECT,DIRECT,
"F. YAP SECURITIES, INC.",F. YAP,FYAP
FIRST METRO SECURITIES BROKERAGE CORPORATION,FIRST MET,FIR
THE FIRST RESOURCES MANAGEMENT & SECURITIES CORPORATION,FIRST RES,FRM
"J.P. MORGAN SECURITIES PHILIPPINES, INC.",JP MORGAN,JPM
"LAND BANK SECURITIES, INC.",LBP SEC,LSI
"MACQUARIE CAPITAL SECURITIES (PHILIPPINES), INC.",MACQUARIE,MAC
"MAYBANK SECURITIES, INC.",MAYBANK S,MAY
PAPA SECURITIES CORPORATION,PAPA SEC,PAP
"PHILIPPINE EQUITY PARTNERS, INC.",PEP,PEP
"REGIS PARTNERS, INC.",REGIS,REG
"RCBC SECURITIES, INC.",RSEC,RCB
SALISBURY SECURITIES CORPORATION,SALISBURY,SAL
"SB EQUITIES, INC.",SB EQUITI,SBE
"UBS SECURITIES PHILIPPINES, INC.",UBS,UBS
"WEALTH SECURITIES, INC.",WEALTH SE,WEA
"Asiasec Equities, Inc.",Asiasec,ASI
Bank of Commerce,BankCom,
UBS AG (FOREIGN),UBS AG,
MANDARIN SECURITIES CORPORATION,MANDARIN,MAN
REGINA CAPITAL DEVELOPMENT CORPORATION,REGINA,RGN
