Equity Security Code,Equity ISIN Code
AC,PHY0486V1154
AC,PHY0486V1154
ACEN,PHY1001H1024
ACEN,PHY1001H1024
AEV,PHY0001Z1040
AEV,PHY0001Z1040
AGI,PHY003341054
AGI,PHY003341054
ALI,PHY0488F1004
ALI,PHY0488F1004
ALLDY,PHY0040W1046
ALLDY,PHY0040W1046
AP,PHY0005M1090
AP,PHY0005M1090
AREIT,PHY1001D1010
AREIT,PHY1001D1010
AXLM,PHY0564R1015
AXLM,PHY0564R1015
BDO,PHY077751022
BDO,PHY077751022
BEL,PHY0775S1043
BEL,PHY0775S1043
BPI,PHY0967S1694
BPI,PHY0967S1694
CEB,PHY1234G1032
CEB,PHY1234G1032
CBC,PHY138161229
CBC,PHY138161229
CLI,PHY1313P1076
CLI,PHY1313P1076
CNPF,PHY1249R1024
CNPF,PHY1249R1024
CNVRG,PHY1757W1054
CNVRG,PHY1757W1054
COSCO,PHY1765W1054
COSCO,PHY1765W1054
CREIT,PHY1642D1064
CREIT,PHY1642D1064
DD,PHY2105Y1083
DD,PHY2105Y1083
DDMPR,PHY2000J1070
DDMPR,PHY2000J1070
DMC,PHY2088F1004
DMC,PHY2088F1004
EEI,PHY2249U1035
EEI,PHY2249U1035
EMI,PHY2290T1044
EMI,PHY2290T1044
EW,PHY223581083
EW,PHY223581083
FGEN,PHY2518H1143
FGEN,PHY2518H1143
FILRT,PHY2491W1046
FILRT,PHY2491W1046
FLI,PHY249161019
FLI,PHY249161019
FPH,PHY2558N1203
FPH,PHY2558N1203
FRUIT,PHY2664A1035
FRUIT,PHY2664A1035
GLO,PHY272571498
GLO,PHY272571498
GMA7,PHY2728W1090
GMA7,PHY2728W1090
GTCAP,PHY290451046
GTCAP,PHY290451046
HOME,PHY0040P1094
HOME,PHY0040P1094
I,PHY4178T1070
I,PHY4178T1070
ICT,PHY411571011
ICT,PHY411571011
JFC,PHY4466S1007
JFC,PHY4466S1007
JGS,PHY444251177
JGS,PHY444251177
LPZ,PHY5347P1085
LPZ,PHY5347P1085
MAXS,PHY5906K1026
MAXS,PHY5906K1026
MBT,PHY6028G1361
MBT,PHY6028G1361
MEDIC,PHY5921R1087
MEDIC,PHY5921R1087
MEG,PHY594811127
MEG,PHY594811127
MER,PHY5764J1483
MER,PHY5764J1483
MONDE,PHY6142T1052
MONDE,PHY6142T1052
MPI,MPI
MPI,MPI
MREIT,PHY6143N1073
MREIT,PHY6143N1073
MRSGI,PHY6033N1001
MRSGI,PHY6033N1001
MWC,PHY569991086
MWC,PHY569991086
MWIDE,PHY5953G1032
MWIDE,PHY5953G1032
NIKL,PHY6350R1069
NIKL,PHY6350R1069
PCOR,PHY6885F1067
PCOR,PHY6885F1067
PGOLD,PHY716171079
PGOLD,PHY716171079
PNX,PHY6892G1059
PNX,PHY6892G1059
PSE,PHY6957L1062
PSE,PHY6957L1062
PX,PHY689911352
PX,PHY689911352
PXP,PHY7S66G1036
PXP,PHY7S66G1036
RCR,PHY7319E1039
RCR,PHY7319E1039
RLC,PHY731961264
RLC,PHY731961264
RRHI,PHY7318T1017
RRHI,PHY7318T1017
SCC,PHY7628G1124
SCC,PHY7628G1124
SECB,PHY7571C1000
SECB,PHY7571C1000
SHLPH,PHY6980U1070
SHLPH,PHY6980U1070
SM,PHY806761029
SM,PHY806761029
SMC,PHY751061151
SMC,PHY751061151
SMC2F,PHY751061805
SMC2F,PHY751061805
SMPH,PHY8076N1120
SMPH,PHY8076N1120
TEL,PHY7072Q1032
TEL,PHY7072Q1032
TFHI,PHY8898C1046
TFHI,PHY8898C1046
URC,PHY9297P1004
URC,PHY9297P1004
VLL,PHY9382G1068
VLL,PHY9382G1068
VREIT,PHY9390Q1041
VREIT,PHY9390Q1041
WLCON,PHY9584X1055
WLCON,PHY9584X1055
APB2R,PHY0486V1725
APB2R,PHY0486V1725
UBP,PHY9091H1069
UBP,PHY9091H1069
SMC2M,PH0000057382
SMC2M,PH0000057382
ACENB,PH0000057416
ACENB,PH0000057416
SGP,PHY8321B1036
SGP,PHY8321B1036
RFM,PHY727881542
RFM,PHY727881542
LTG,PHY5342M1000
LTG,PHY5342M1000
KEEPR,PHY4630V1045
KEEPR,PHY4630V1045
FB,PHY7510J1668
FB,PHY7510J1668
DNL,PHY1973T1008
DNL,PHY1973T1008
CPG,PHY1275E1083
CPG,PHY1275E1083
HLCM,HLCM
HLCM,HLCM
CIC,PHY1694P1067
CIC,PHY1694P1067
SMC2O,PH0000057853
SMC2O,PH0000057853
CPGPB,PH0000058299
CPGPB,PH0000058299
CLIA2,PH0000058547
CLIA2,PH0000058547
